"","Date","Open","High","Low","Close","Adj.Close","Volume"
"1","2017-01-03",1.99,2.003,1.941,1.944,1.944,0
"2","2017-01-04",1.959,1.97,1.927,1.947,1.947,0
"3","2017-01-05",1.922,1.927,1.837,1.863,1.863,0
"4","2017-01-06",1.833,1.932,1.833,1.922,1.922,0
"5","2017-01-08",1.865,1.9165,1.8535,1.9015,1.9015,0
"6","2017-01-09",1.897,1.901,1.874,1.881,1.881,0
"7","2017-01-10",1.894,1.894,1.864,1.879,1.879,0
"8","2017-01-11",1.871,1.902,1.83,1.876,1.876,0
"9","2017-01-12",1.846,1.868,1.82,1.868,1.868,0
"10","2017-01-13",1.836,1.933,1.834,1.884,1.884,0
"11","2017-01-15",1.8365,1.892,1.819,1.855,1.855,0
"12","2017-01-17",1.837,1.851,1.804,1.826,1.826,0
"13","2017-01-18",1.859,1.889,1.849,1.885,1.885,0
"14","2017-01-19",1.942,1.988,1.94,1.953,1.953,0
"15","2017-01-20",1.983,1.983,1.93,1.94,1.94,0
"16","2017-01-22",1.95,1.958,1.8895,1.9035,1.9035,0
"17","2017-01-23",1.917,1.933,1.849,1.867,1.867,0
"18","2017-01-24",1.9,1.938,1.888,1.937,1.937,0
"19","2017-01-25",1.95,1.995,1.95,1.987,1.987,0
"20","2017-01-26",2.002,2.017,1.959,1.962,1.962,0
"21","2017-01-27",1.984,1.986,1.941,1.941,1.941,0
"22","2017-01-29",1.965,1.969,1.9295,1.9385,1.9385,0
"23","2017-01-30",1.946,1.952,1.918,1.936,1.936,0
"24","2017-01-31",1.938,1.949,1.89,1.908,1.908,0
"25","2017-02-01",1.949,1.984,1.916,1.926,1.926,0
"26","2017-02-02",1.91,1.925,1.888,1.921,1.921,0
"27","2017-02-03",1.943,1.968,1.868,1.933,1.933,0
"28","2017-02-05",1.905,1.93,1.856,1.8935,1.8935,0
"29","2017-02-06",1.867,1.892,1.844,1.854,1.854,0
"30","2017-02-07",1.86,1.877,1.817,1.844,1.844,0
"31","2017-02-08",1.826,1.834,1.794,1.816,1.816,0
"32","2017-02-09",1.825,1.87,1.819,1.87,1.87,0
"33","2017-02-10",1.883,1.901,1.872,1.887,1.887,0
"34","2017-02-12",1.898,1.9135,1.8885,1.899,1.899,0
"35","2017-02-13",1.913,1.926,1.905,1.911,1.911,0
"36","2017-02-14",1.92,1.99,1.91,1.96,1.96,0
"37","2017-02-15",1.975,2.02,1.973,2.001,2.001,0
"38","2017-02-16",1.968,1.983,1.93,1.941,1.941,0
"39","2017-02-17",1.895,1.917,1.89,1.91,1.91,0
"40","2017-02-19",1.921,1.9345,1.8975,1.9135,1.9135,0
"41","2017-02-21",1.947,1.952,1.905,1.917,1.917,0
"42","2017-02-22",1.903,1.955,1.888,1.912,1.912,0
"43","2017-02-23",1.89,1.89,1.867,1.878,1.878,0
"44","2017-02-24",1.841,1.841,1.803,1.804,1.804,0
"45","2017-02-26",1.834,1.857,1.8135,1.837,1.837,0
