"","Date","Open","High","Low","Close","Adj.Close","Volume"
"1","2017-01-03",0.488,0.49,0.475,0.475,0.475,0
"2","2017-01-04",0.518,0.52,0.518,0.518,0.518,0
"3","2017-01-05",0.51,0.51,0.503,0.508,0.508,0
"4","2017-01-06",0.503,0.508,0.5,0.503,0.503,0
"5","2017-01-08",0.5015,0.504,0.4915,0.494,0.494,0
"6","2017-01-09",0.5,0.5,0.483,0.485,0.485,0
"7","2017-01-10",0.5,0.505,0.5,0.503,0.503,0
"8","2017-01-11",0.498,0.503,0.495,0.498,0.498,0
"9","2017-01-12",0.493,0.503,0.493,0.503,0.503,0
"10","2017-01-13",0.503,0.513,0.503,0.513,0.513,0
"11","2017-01-15",0.5055,0.5155,0.504,0.513,0.513,0
"12","2017-01-17",0.508,0.518,0.505,0.513,0.513,0
"13","2017-01-18",0.528,0.535,0.513,0.515,0.515,0
"14","2017-01-19",0.508,0.508,0.498,0.503,0.503,0
"15","2017-01-20",0.48,0.488,0.478,0.48,0.48,0
"16","2017-01-22",0.4825,0.4865,0.4755,0.4765,0.4765,0
"17","2017-01-23",0.485,0.485,0.473,0.473,0.473,0
"18","2017-01-24",0.5,0.5,0.493,0.493,0.493,0
"19","2017-01-25",0.493,0.493,0.48,0.483,0.483,0
"20","2017-01-26",0.483,0.49,0.483,0.488,0.488,0
"21","2017-01-27",0.488,0.498,0.488,0.498,0.498,0
"22","2017-01-29",0.493,0.5015,0.4915,0.4965,0.4965,0
"23","2017-01-30",0.498,0.505,0.495,0.495,0.495,0
"24","2017-01-31",0.508,0.508,0.5,0.5,0.5,0
"25","2017-02-01",0.505,0.51,0.498,0.5,0.5,0
"26","2017-02-02",0.493,0.493,0.48,0.488,0.488,0
"27","2017-02-03",0.485,0.488,0.483,0.488,0.488,0
"28","2017-02-05",0.4865,0.498,0.4855,0.4955,0.4955,0
"29","2017-02-06",0.488,0.508,0.488,0.503,0.503,0
"30","2017-02-07",0.518,0.525,0.518,0.525,0.525,0
"31","2017-02-08",0.523,0.525,0.52,0.525,0.525,0
"32","2017-02-09",0.523,0.528,0.523,0.528,0.528,0
"33","2017-02-10",0.523,0.528,0.52,0.523,0.523,0
"34","2017-02-12",0.5215,0.5255,0.5175,0.523,0.523,0
"35","2017-02-13",0.52,0.523,0.515,0.523,0.523,0
"36","2017-02-14",0.533,0.538,0.528,0.535,0.535,0
"37","2017-02-15",0.525,0.53,0.52,0.52,0.52,0
"38","2017-02-16",0.518,0.518,0.503,0.508,0.508,0
"39","2017-02-17",0.5,0.508,0.5,0.508,0.508,0
"40","2017-02-19",0.5025,0.508,0.5025,0.5065,0.5065,0
"41","2017-02-21",0.505,0.508,0.505,0.505,0.505,0
"42","2017-02-22",0.528,0.528,0.51,0.51,0.51,0
"43","2017-02-23",0.5,0.5,0.495,0.498,0.498,0
"44","2017-02-24",0.495,0.498,0.49,0.498,0.498,0
"45","2017-02-26",0.495,0.498,0.489,0.494,0.494,0
"46","2017-02-27",0.495,0.498,0.488,0.49,0.49,0
"47","2017-02-28",0.513,0.523,0.51,0.523,0.523,0
"48","2017-03-01",0.625,0.643,0.608,0.615,0.615,0
"49","2017-03-02",0.655,0.69,0.625,0.645,0.645,0
"50","2017-03-03",0.633,0.69,0.633,0.683,0.683,0
"51","2017-03-05",0.658,0.704,0.6565,0.694,0.694,0
"52","2017-03-06",0.683,0.718,0.68,0.705,0.705,0
"53","2017-03-07",0.728,0.743,0.725,0.735,0.735,0
"54","2017-03-08",0.753,0.755,0.708,0.708,0.708,0
"55","2017-03-09",0.703,0.713,0.698,0.713,0.713,0
"56","2017-03-10",0.71,0.733,0.708,0.725,0.725,0
"57","2017-03-12",0.7175,0.738,0.714,0.7265,0.7265,0
"58","2017-03-13",0.725,0.743,0.72,0.728,0.728,0
"59","2017-03-14",0.765,0.765,0.753,0.753,0.753,0
"60","2017-03-15",0.75,0.753,0.715,0.715,0.715,0
"61","2017-03-16",0.7,0.723,0.7,0.708,0.708,0
"62","2017-03-17",0.71,0.718,0.705,0.708,0.708,0
"63","2017-03-19",0.709,0.7155,0.7065,0.709,0.709,0
"64","2017-03-20",0.708,0.713,0.708,0.71,0.71,0
"65","2017-03-21",0.758,0.758,0.753,0.753,0.753,0
"66","2017-03-22",0.753,0.755,0.748,0.748,0.748,0
"67","2017-03-23",0.745,0.75,0.745,0.748,0.748,0
"68","2017-03-24",0.748,0.755,0.748,0.748,0.748,0
"69","2017-03-26",0.748,0.7575,0.748,0.753,0.753,0
"70","2017-03-27",0.748,0.76,0.748,0.758,0.758,0
"71","2017-03-28",0.773,0.775,0.773,0.773,0.773,0
"72","2017-03-29",0.77,0.77,0.755,0.755,0.755,0
"73","2017-03-30",0.753,0.758,0.75,0.758,0.758,0
"74","2017-03-31",0.74,0.74,0.738,0.738,0.738,0
"75","2017-04-02",0.74,0.7425,0.738,0.739,0.739,0
"76","2017-04-03",0.74,0.745,0.738,0.74,0.74,0
"77","2017-04-04",0.778,0.78,0.778,0.78,0.78,0
"78","2017-04-05",0.78,0.785,0.78,0.78,0.78,0
"79","2017-04-06",0.778,0.79,0.778,0.788,0.788,0
"80","2017-04-07",0.785,0.798,0.783,0.798,0.798,0
"81","2017-04-09",0.79,0.798,0.784,0.793,0.793,0
"82","2017-04-10",0.795,0.798,0.785,0.788,0.788,0
"83","2017-04-11",0.805,0.805,0.8,0.8,0.8,0
"84","2017-04-12",0.795,0.8,0.79,0.793,0.793,0
"85","2017-04-13",0.788,0.793,0.788,0.79,0.79,0
"86","2017-04-16",0.789,0.7965,0.789,0.79,0.79,0
"87","2017-04-17",0.79,0.8,0.79,0.79,0.79,0
