"","Date","Open","High","Low","Close","Adj.Close","Volume"
"1","2017-01-03",2.511,2.518,2.448,2.45,2.45,0
"2","2017-01-04",2.456,2.474,2.434,2.452,2.452,0
"3","2017-01-05",2.439,2.443,2.346,2.368,2.368,0
"4","2017-01-06",2.339,2.425,2.339,2.418,2.418,0
"5","2017-01-08",2.363,2.4085,2.3535,2.397,2.397,0
"6","2017-01-09",2.387,2.392,2.368,2.376,2.376,0
"7","2017-01-10",2.39,2.392,2.363,2.379,2.379,0
"8","2017-01-11",2.372,2.398,2.329,2.37,2.37,0
"9","2017-01-12",2.336,2.363,2.309,2.361,2.361,0
"10","2017-01-13",2.336,2.431,2.336,2.38,2.38,0
"11","2017-01-15",2.3345,2.3925,2.3245,2.3535,2.3535,0
"12","2017-01-17",2.333,2.354,2.313,2.327,2.327,0
"13","2017-01-18",2.362,2.397,2.358,2.389,2.389,0
"14","2017-01-19",2.435,2.496,2.433,2.459,2.459,0
"15","2017-01-20",2.498,2.513,2.46,2.467,2.467,0
"16","2017-01-22",2.478,2.492,2.4205,2.435,2.435,0
"17","2017-01-23",2.458,2.471,2.381,2.403,2.403,0
"18","2017-01-24",2.436,2.473,2.419,2.471,2.471,0
"19","2017-01-25",2.482,2.536,2.482,2.523,2.523,0
"20","2017-01-26",2.538,2.555,2.504,2.508,2.508,0
"21","2017-01-27",2.521,2.525,2.481,2.481,2.481,0
"22","2017-01-29",2.5055,2.511,2.4735,2.482,2.482,0
"23","2017-01-30",2.49,2.497,2.466,2.483,2.483,0
"24","2017-01-31",2.485,2.496,2.433,2.451,2.451,0
"25","2017-02-01",2.487,2.516,2.463,2.474,2.474,0
"26","2017-02-02",2.455,2.474,2.433,2.47,2.47,0
"27","2017-02-03",2.483,2.502,2.428,2.491,2.491,0
"28","2017-02-05",2.4525,2.48,2.417,2.452,2.452,0
"29","2017-02-06",2.422,2.458,2.406,2.413,2.413,0
"30","2017-02-07",2.423,2.441,2.367,2.389,2.389,0
"31","2017-02-08",2.366,2.371,2.325,2.351,2.351,0
"32","2017-02-09",2.352,2.398,2.349,2.395,2.395,0
"33","2017-02-10",2.411,2.434,2.397,2.409,2.409,0
"34","2017-02-12",2.4235,2.443,2.412,2.4215,2.4215,0
"35","2017-02-13",2.436,2.452,2.427,2.434,2.434,0
"36","2017-02-14",2.441,2.502,2.431,2.47,2.47,0
"37","2017-02-15",2.484,2.524,2.483,2.502,2.502,0
"38","2017-02-16",2.475,2.492,2.438,2.45,2.45,0
"39","2017-02-17",2.406,2.429,2.4,2.425,2.425,0
"40","2017-02-19",2.431,2.445,2.4065,2.426,2.426,0
"41","2017-02-21",2.456,2.461,2.413,2.427,2.427,0
"42","2017-02-22",2.408,2.454,2.392,2.418,2.418,0
"43","2017-02-23",2.399,2.399,2.381,2.388,2.388,0
"44","2017-02-24",2.353,2.353,2.314,2.317,2.317,0
"45","2017-02-26",2.342,2.3615,2.3215,2.343,2.343,0
"46","2017-02-27",2.331,2.37,2.329,2.369,2.369,0
"47","2017-02-28",2.356,2.369,2.337,2.358,2.358,0
"48","2017-03-01",2.435,2.471,2.435,2.463,2.463,0
"49","2017-03-02",2.482,2.505,2.465,2.489,2.489,0
"50","2017-03-03",2.494,2.52,2.482,2.492,2.492,0
"51","2017-03-05",2.4825,2.5135,2.473,2.493,2.493,0
"52","2017-03-06",2.471,2.507,2.464,2.494,2.494,0
"53","2017-03-07",2.511,2.518,2.503,2.511,2.511,0
"54","2017-03-08",2.567,2.583,2.545,2.552,2.552,0
"55","2017-03-09",2.563,2.607,2.558,2.598,2.598,0
"56","2017-03-10",2.613,2.615,2.575,2.582,2.582,0
"57","2017-03-12",2.5955,2.615,2.5755,2.595,2.595,0
"58","2017-03-13",2.578,2.615,2.576,2.608,2.608,0
"59","2017-03-14",2.608,2.613,2.588,2.595,2.595,0
"60","2017-03-15",2.577,2.591,2.506,2.508,2.508,0
"61","2017-03-16",2.522,2.538,2.515,2.522,2.522,0
"62","2017-03-17",2.522,2.531,2.49,2.501,2.501,0
"63","2017-03-19",2.513,2.5205,2.481,2.487,2.487,0
"64","2017-03-20",2.504,2.51,2.472,2.473,2.473,0
"65","2017-03-21",2.493,2.499,2.421,2.436,2.436,0
"66","2017-03-22",2.419,2.421,2.375,2.396,2.396,0
"67","2017-03-23",2.412,2.437,2.387,2.418,2.418,0
"68","2017-03-24",2.416,2.425,2.393,2.4,2.4,0
"69","2017-03-26",2.3875,2.4035,2.3705,2.3865,2.3865,0
"70","2017-03-27",2.359,2.382,2.348,2.373,2.373,0
"71","2017-03-28",2.366,2.42,2.357,2.409,2.409,0
"72","2017-03-29",2.403,2.405,2.378,2.386,2.386,0
"73","2017-03-30",2.382,2.42,2.378,2.416,2.416,0
"74","2017-03-31",2.414,2.427,2.395,2.396,2.396,0
"75","2017-04-02",2.397,2.409,2.3635,2.373,2.373,0
"76","2017-04-03",2.38,2.391,2.332,2.35,2.35,0
"77","2017-04-04",2.325,2.359,2.321,2.35,2.35,0
"78","2017-04-05",2.377,2.384,2.353,2.357,2.357,0
"79","2017-04-06",2.348,2.368,2.328,2.343,2.343,0
