,Date,Open,High,Low,Close,Adj.Close,Volume,Vol
1,1/3/17,3.123,3.129,3.045,3.047,3.047,0,0.013605442
2,1/4/17,3.046,3.063,3.028,3.045,3.045,0,0.005746183
3,1/5/17,3.043,3.047,2.956,2.962,2.962,0,0.015159087
4,1/6/17,2.944,3.01,2.944,3.004,3.004,0,0.011084985
5,1/8/17,2.9585,2.995,2.949,2.986,2.986,0,0.007738896
6,1/9/17,2.973,2.98,2.954,2.968,2.968,0,0.00438153
7,1/10/17,2.983,2.988,2.962,2.97,2.97,0,0.004369748
8,1/11/17,2.964,2.983,2.926,2.957,2.957,0,0.009646302
9,1/12/17,2.927,2.96,2.902,2.96,2.96,0,0.009894234
10,1/13/17,2.937,3.019,2.937,2.977,2.977,0,0.013767629
11,1/15/17,2.9325,2.989,2.925,2.952,2.952,0,0.010821779
12,1/17/17,2.928,2.959,2.913,2.927,2.927,0,0.007833787
13,1/18/17,2.965,3,2.96,2.985,2.985,0,0.006711409
14,1/19/17,3.011,3.07,3.008,3.032,3.032,0,0.010200724
15,1/20/17,3.068,3.084,3.039,3.046,3.046,0,0.007349339
16,1/22/17,3.054,3.0675,3.003,3.0185,3.0185,0,0.010625154
17,1/23/17,3.04,3.051,2.967,2.991,2.991,0,0.013958126
18,1/24/17,3.019,3.06,2.999,3.056,3.056,0,0.010067668
19,1/25/17,3.065,3.118,3.065,3.108,3.108,0,0.008571891
20,1/26/17,3.113,3.128,3.087,3.091,3.091,0,0.006596943
21,1/27/17,3.102,3.106,3.058,3.059,3.059,0,0.007787151
22,1/29/17,3.0915,3.0975,3.058,3.068,3.068,0,0.006417025
23,1/30/17,3.081,3.089,3.058,3.077,3.077,0,0.00504311
24,1/31/17,3.084,3.091,3.034,3.051,3.051,0,0.009306122
25,2/1/17,3.081,3.108,3.069,3.081,3.081,0,0.006313745
26,2/2/17,3.062,3.092,3.041,3.083,3.083,0,0.008315669
27,2/3/17,3.094,3.127,3.06,3.114,3.114,0,0.010829158
28,2/5/17,3.0775,3.11,3.0525,3.081,3.081,0,0.009330629
29,2/6/17,3.061,3.093,3.045,3.048,3.048,0,0.007820137
30,2/7/17,3.065,3.085,3.004,3.019,3.019,0,0.013302677
31,2/8/17,2.993,2.994,2.947,2.961,2.961,0,0.007911126
32,2/9/17,2.979,3.022,2.975,3.011,3.011,0,0.007837252
33,2/10/17,3.019,3.046,3.002,3.012,3.012,0,0.007275132
34,2/12/17,3.024,3.047,3.014,3.023,3.023,0,0.005444646
35,2/13/17,3.029,3.048,3.026,3.034,3.034,0,0.003621995
36,2/14/17,3.038,3.096,3.029,3.062,3.062,0,0.010938776
37,2/15/17,3.072,3.109,3.072,3.091,3.091,0,0.005986086
38,2/16/17,3.069,3.086,3.03,3.051,3.051,0,0.009156311
