Date,price,cpi,adjprice,delta
,,,,
2017-01-03,1151,812.4,141.6789759,5.1
2017-01-04,1164.3,818.9,142.1785322,13.3
2017-01-05,1176.7,829.4,141.8736436,12.4
2017-01-06,1175.9,831.2,141.4701636,-0.8
2017-01-09,1178.5,845.1,139.4509525,2.6
2017-01-10,1189.5,855.7,139.0089985,11
2017-01-11,1178.6,863.4,136.5068334,-10.9
2017-01-12,1205.1,865.7,139.2052674,26.5
2017-01-13,1190.4,855.6,139.1304348,-14.7
2017-01-16,1203,869.3,138.3872081,12.6
2017-01-17,1216.1,874,139.1418764,13.1
2017-01-18,1214.8,872.1,139.2959523,-1.3
2017-01-19,1196.1,866.4,138.0540166,-18.7
2017-01-20,1200.6,865.5,138.7175043,4.5
2017-01-23,1212.9,870.4,139.3497243,12.3
2017-01-24,1216.8,873.7,139.2697722,3.9
2017-01-25,1195,865.2,138.1183541,-21.8
2017-01-26,1189.7,864.5,137.6171197,-5.3
2017-01-27,1184.9,860.5,137.6990122,-4.8
2017-01-30,1192.8,857.6,139.0858209,7.9
2017-01-31,1212.8,870.8,139.2742306,20
2017-02-01,1203.7,863.7,139.3655204,-9.1
2017-02-02,1222,870.3,140.4113524,18.3
2017-02-03,1215.2,861.8,141.0071942,-6.8
2017-02-06,1226.8,868.9,141.1900104,11.6
2017-02-07,1231,877.9,140.2209819,4.2
2017-02-08,1242.1,882.7,140.715985,11.1
2017-02-09,1236.8,875.1,141.3324192,-5.3
2017-02-10,1228.3,869.7,141.2326089,-8.5
2017-02-13,1222.3,864.8,141.3390379,-6
2017-02-14,1230.8,870,141.4712644,8.5
2017-02-15,1224.4,865.7,141.4346771,-6.4
2017-02-16,1240.6,875.4,141.7180717,16.2
2017-02-17,1242,873.8,142.137789,1.4
2017-02-20,1237.3,868.4,142.4804238,-4.7
2017-02-21,1233.2,867,142.2376009,-4.1
2017-02-22,1236.7,865.9,142.8224968,3.5
2017-02-23,1247.9,869.4,143.5357718,11.2
2017-02-24,1253.7,876.9,142.9695518,5.8
2017-02-27,1257.2,879.1,143.0098965,3.5
2017-02-28,1255.6,881.1,142.5036886,-1.6
2017-03-01,1240.4,875.1,141.7438007,-15.2
2017-03-02,1238.1,877.2,141.1422709,-2.3
2017-03-03,1226.5,871.3,140.7666705,-11.6
2017-03-06,1231,872.8,141.04033,4.5
2017-03-07,1216.7,859.6,141.5425779,-14.3
2017-03-08,1209.2,859.5,140.6864456,-7.5
2017-03-09,1206.6,861.6,140.0417827,-2.6
2017-03-10,1202.7,854.8,140.6995788,-3.9
2017-03-13,1204.2,855.8,140.7104464,1.5
2017-03-14,1204.6,854.2,141.0208382,0.4
2017-03-15,1198.8,847.1,141.5181206,-5.8
2017-03-16,1229.4,857.3,143.4037093,30.6
2017-03-17,1229.6,856.2,143.6113058,0.2
2017-03-20,1232.4,858.3,143.5861587,2.8
2017-03-21,1241.6,862.9,143.886893,9.2
2017-03-22,1249.1,868.7,143.7895706,7.5
2017-03-23,1247.5,869.6,143.4567617,-1.6
2017-03-24,1247.5,867.4,143.8206133,0
2017-03-27,1257.6,873.2,144.0219881,10.1
2017-03-28,1257.3,873.7,143.9052306,-0.3
2017-03-29,1251.1,872.5,143.3925501,-6.2
2017-03-30,1248.8,868.3,143.8212599,-2.3
2017-03-31,1244.9,867.1,143.5705224,-3.9
2017-04-03,1247.3,869.4,143.4667587,2.4
2017-04-04,1257.7,878.5,143.1644849,10.4
2017-04-05,1245.8,873.3,142.6542998,-11.9
2017-04-06,1252.5,878.7,142.5401161,6.7
2017-04-07,1266.5,889,142.4634421,14
2017-04-10,1250.1,878.5,142.2993739,-16.4
2017-04-11,1252.9,878.9,142.5531915,2.8
2017-04-12,1274.3,889.4,143.2763661,21.4
