Date,Price
3-Jan-17,52.36
4-Jan-17,53.26
5-Jan-17,53.77
6-Jan-17,53.98
9-Jan-17,51.95
10-Jan-17,50.82
11-Jan-17,52.19
12-Jan-17,53.01
13-Jan-17,52.36
17-Jan-17,52.45
18-Jan-17,51.12
19-Jan-17,51.39
20-Jan-17,52.33
23-Jan-17,52.77
24-Jan-17,52.38
25-Jan-17,52.14
26-Jan-17,53.24
27-Jan-17,53.18
30-Jan-17,52.63
31-Jan-17,52.75
1-Feb-17,53.9
2-Feb-17,53.55
3-Feb-17,53.81
6-Feb-17,53.01
7-Feb-17,52.19
8-Feb-17,52.37
9-Feb-17,52.99
10-Feb-17,53.84
13-Feb-17,52.96
14-Feb-17,53.21
15-Feb-17,53.11
16-Feb-17,53.41
17-Feb-17,53.41
21-Feb-17,54.02
22-Feb-17,53.61
23-Feb-17,54.48
24-Feb-17,53.99
27-Feb-17,54.04
28-Feb-17,54
1-Mar-17,53.82
2-Mar-17,52.63
3-Mar-17,53.33
6-Mar-17,53.19
7-Mar-17,52.68
8-Mar-17,49.83
9-Mar-17,48.75
10-Mar-17,48.05
13-Mar-17,47.95
14-Mar-17,47.24
15-Mar-17,48.34
16-Mar-17,48.3
17-Mar-17,48.34
20-Mar-17,47.79
21-Mar-17,47.02
22-Mar-17,47.29
23-Mar-17,47
24-Mar-17,47.3
27-Mar-17,47.02
28-Mar-17,48.36
29-Mar-17,49.47
30-Mar-17,50.3
31-Mar-17,50.54
3-Apr-17,50.25
4-Apr-17,50.99
5-Apr-17,51.14
6-Apr-17,51.69
7-Apr-17,52.25
10-Apr-17,53.06
11-Apr-17,53.38
12-Apr-17,53.12
13-Apr-17,53.19
17-Apr-17,52.62
18-Apr-17,52.46
19-Apr-17,50.49
20-Apr-17,50.26
21-Apr-17,49.64
24-Apr-17,48.9
25-Apr-17,49.22
26-Apr-17,49.22
27-Apr-17,48.96
28-Apr-17,49.31
1-May-17,48.83
2-May-17,47.65
3-May-17,47.79
4-May-17,45.55
5-May-17,46.23
8-May-17,46.46
9-May-17,45.84
10-May-17,47.28
11-May-17,47.81
12-May-17,47.83
15-May-17,48.86
16-May-17,48.64
17-May-17,49.04
18-May-17,49.36
19-May-17,50.32
22-May-17,50.81
23-May-17,51.12
24-May-17,50.99
25-May-17,48.57
26-May-17,49.58
30-May-17,49.63
31-May-17,48.29
1-Jun-17,48.32
2-Jun-17,47.68
5-Jun-17,47.4
6-Jun-17,48.13
7-Jun-17,45.8
8-Jun-17,45.68
9-Jun-17,45.82
12-Jun-17,46.1
13-Jun-17,46.41
14-Jun-17,44.79
15-Jun-17,44.47
16-Jun-17,44.73
19-Jun-17,44.24
20-Jun-17,43.34
21-Jun-17,42.48
22-Jun-17,42.53
23-Jun-17,42.86
26-Jun-17,43.24
27-Jun-17,44.25
28-Jun-17,44.74
29-Jun-17,44.88
30-Jun-17,46.02
5-Jul-17,45.11
6-Jul-17,45.52
7-Jul-17,44.25
10-Jul-17,44.4
11-Jul-17,45.06
12-Jul-17,45.48
13-Jul-17,46.06
14-Jul-17,46.53
17-Jul-17,46.02
18-Jul-17,46.4
19-Jul-17,47.1
20-Jul-17,46.73
21-Jul-17,45.78
24-Jul-17,46.21
25-Jul-17,47.77
26-Jul-17,48.58
27-Jul-17,49.05
28-Jul-17,49.72
31-Jul-17,50.21
1-Aug-17,49.19
2-Aug-17,49.6
3-Aug-17,49.03
4-Aug-17,49.57
7-Aug-17,49.37
8-Aug-17,49.07
9-Aug-17,49.59
10-Aug-17,48.54
11-Aug-17,48.81
14-Aug-17,47.59
15-Aug-17,47.57
16-Aug-17,46.8
17-Aug-17,47.07
18-Aug-17,48.59
21-Aug-17,47.39
22-Aug-17,47.65
23-Aug-17,48.45
24-Aug-17,47.24
25-Aug-17,47.65
28-Aug-17,46.4
29-Aug-17,46.46
30-Aug-17,45.96
