Date,Close,Open,Day High,Day Low
1/1/2017,1.3438,1.3444,1.3444,1.3428
1/2/2017,1.3447,1.3438,1.3457,1.3388
1/3/2017,1.3429,1.3447,1.346,1.34
1/4/2017,1.3306,1.3428,1.3459,1.3283
1/5/2017,1.3231,1.3306,1.3313,1.3193
1/6/2017,1.3238,1.3232,1.327,1.3179
1/7/2017,1.3237,1.3237,1.3237,1.3237
1/8/2017,1.3253,1.3237,1.3259,1.3237
1/9/2017,1.3219,1.3238,1.3279,1.3199
1/10/2017,1.3232,1.322,1.3258,1.3193
1/11/2017,1.3184,1.3235,1.3295,1.3129
1/12/2017,1.3149,1.318,1.3183,1.3032
1/13/2017,1.3115,1.3149,1.3169,1.3114
1/14/2017,1.3113,1.3113,1.3113,1.3113
1/15/2017,1.3132,1.3113,1.3145,1.3113
1/16/2017,1.3186,1.3115,1.3189,1.3115
1/17/2017,1.3047,1.3179,1.3191,1.3021
1/18/2017,1.327,1.3042,1.3274,1.304
1/19/2017,1.3324,1.3265,1.3354,1.3254
1/20/2017,1.332,1.3323,1.3388,1.3286
1/21/2017,1.3319,1.3319,1.3319,1.3319
1/22/2017,1.3327,1.3319,1.3332,1.3319
1/23/2017,1.3229,1.3327,1.3336,1.3222
1/24/2017,1.316,1.3228,1.3301,1.3109
1/25/2017,1.3072,1.3159,1.3164,1.3062
1/26/2017,1.3091,1.3072,1.3132,1.3054
1/27/2017,1.3153,1.3093,1.3155,1.3088
1/28/2017,1.3153,1.3153,1.3153,1.3152
1/29/2017,1.313,1.3153,1.3153,1.3127
1/30/2017,1.3118,1.313,1.317,1.3081
1/31/2017,1.3045,1.3117,1.3125,1.2971
2/1/2017,1.3049,1.3044,1.3104,1.3034
2/2/2017,1.3027,1.3046,1.3053,1.2981
2/3/2017,1.3024,1.3026,1.3072,1.2994
2/4/2017,1.3024,1.3024,1.3024,1.3015
2/5/2017,1.3028,1.3024,1.3036,1.3022
2/6/2017,1.3084,1.3028,1.3135,1.3008
2/7/2017,1.3185,1.3083,1.3214,1.3078
2/8/2017,1.3144,1.3183,1.3202,1.3136
2/9/2017,1.3139,1.3143,1.3169,1.3095
2/10/2017,1.3083,1.3138,1.3159,1.3064
2/11/2017,1.3083,1.3083,1.3083,1.3083
2/12/2017,1.3093,1.3083,1.3095,1.3083
2/13/2017,1.3072,1.3093,1.3122,1.3058
2/14/2017,1.3077,1.3073,1.3108,1.3027
2/15/2017,1.3079,1.3079,1.3122,1.3065
2/16/2017,1.3073,1.308,1.3082,1.3011
2/17/2017,1.3096,1.3072,1.3128,1.3061
2/18/2017,1.3096,1.3096,1.3096,1.3092
2/19/2017,1.3094,1.3096,1.3099,1.3092
2/20/2017,1.3109,1.3094,1.3121,1.3076
2/21/2017,1.3147,1.3107,1.3165,1.3101
2/22/2017,1.316,1.3148,1.3211,1.3112
2/23/2017,1.3105,1.3161,1.3172,1.3085
2/24/2017,1.3093,1.3105,1.3119,1.3059
2/25/2017,1.3093,1.3093,1.32,1.3093
2/26/2017,1.3099,1.3093,1.3101,1.3093
2/27/2017,1.3189,1.3093,1.3189,1.3081
2/28/2017,1.3312,1.3189,1.3316,1.3166
3/1/2017,1.3331,1.3312,1.3359,1.3286
3/2/2017,1.339,1.3333,1.3403,1.3333
3/3/2017,1.3376,1.3395,1.3438,1.3373
3/4/2017,1.3376,1.3371,1.3376,1.3371
3/5/2017,1.3379,1.3376,1.3384,1.3374
3/6/2017,1.3409,1.3376,1.3426,1.3373
3/7/2017,1.3413,1.3407,1.3437,1.3384
3/8/2017,1.3493,1.3417,1.3502,1.3399
3/9/2017,1.3511,1.3497,1.3536,1.3484
3/10/2017,1.3471,1.3512,1.3516,1.3423
3/11/2017,1.3471,1.3473,1.3473,1.3471
3/12/2017,1.346,1.3471,1.3471,1.3452
3/13/2017,1.3452,1.3471,1.3477,1.3431
3/14/2017,1.3482,1.3451,1.3496,1.344
3/15/2017,1.3299,1.348,1.3485,1.3297
3/16/2017,1.3324,1.33,1.3354,1.3278
3/17/2017,1.3369,1.3324,1.3379,1.3305
3/18/2017,1.3369,1.3369,1.3369,1.3369
3/19/2017,1.3332,1.3369,1.3369,1.3327
3/20/2017,1.3343,1.3369,1.3374,1.3305
3/21/2017,1.3351,1.3342,1.3365,1.3267
3/22/2017,1.3333,1.3356,1.341,1.3321
3/23/2017,1.3356,1.3334,1.3359,1.3317
3/24/2017,1.3378,1.3356,1.3392,1.3348
3/25/2017,1.3378,1.3378,1.3378,1.3378
3/26/2017,1.3355,1.3378,1.3378,1.3354
