date, value
1/3/2017,6.964
1/4/2017,6.9342
1/5/2017,6.8767
1/6/2017,6.9241
1/9/2017,6.9375
1/10/2017,6.9215
1/11/2017,6.9377
1/12/2017,6.8941
1/13/2017,6.9005
1/16/2017,6.9008
1/17/2017,6.845
1/18/2017,6.8496
1/19/2017,6.872
1/20/2017,6.8765
1/23/2017,6.8537
1/24/2017,6.859
1/25/2017,6.8836
1/26/2017,6.884
2/3/2017,6.8672
2/6/2017,6.863
2/7/2017,6.8853
2/8/2017,6.8638
2/9/2017,6.8691
2/10/2017,6.8785
2/13/2017,6.8802
2/14/2017,6.8675
2/15/2017,6.8711
2/16/2017,6.853
2/17/2017,6.8665
2/20/2017,6.8785
2/21/2017,6.884
2/22/2017,6.8778
2/23/2017,6.8661
2/24/2017,6.8691
2/27/2017,6.8708
2/28/2017,6.867
3/1/2017,6.8819
3/2/2017,6.8899
3/3/2017,6.8999
3/6/2017,6.897
3/7/2017,6.9025
3/8/2017,6.9131
3/9/2017,6.911
3/10/2017,6.9093
3/13/2017,6.9143
3/14/2017,6.915
3/15/2017,6.9149
3/16/2017,6.898
3/17/2017,6.9034
3/20/2017,6.9085
3/21/2017,6.8874
3/22/2017,6.8819
3/23/2017,6.8863
3/24/2017,6.8837
3/27/2017,6.8729
3/28/2017,6.8795
3/29/2017,6.8901
3/30/2017,6.8894
3/31/2017,6.8872
4/5/2017,6.8948
4/6/2017,6.8977
4/7/2017,6.9005
4/10/2017,6.903
4/11/2017,6.8921
4/12/2017,6.8915
4/13/2017,6.89
4/14/2017,6.8854
4/17/2017,6.8803
4/18/2017,6.882
4/19/2017,6.888
4/20/2017,6.8822
4/21/2017,6.8859
4/24/2017,6.8847
4/25/2017,6.8847
4/26/2017,6.8926
4/27/2017,6.8979
4/28/2017,6.8935
5/2/2017,6.8959
5/3/2017,6.8989
5/4/2017,6.896
5/5/2017,6.9031
5/8/2017,6.9045
5/9/2017,6.9074
5/10/2017,6.9032
5/11/2017,6.9037
5/12/2017,6.8995
5/15/2017,6.8935
5/16/2017,6.8867
5/17/2017,6.8784
5/18/2017,6.8892
5/19/2017,6.885
5/22/2017,6.8864
5/23/2017,6.8852
5/24/2017,6.8901
5/25/2017,6.8685
5/26/2017,6.8555
5/31/2017,6.818
6/1/2017,6.8083
6/2/2017,6.81
6/5/2017,6.804
6/6/2017,6.7952
6/7/2017,6.7957
6/8/2017,6.8003
6/9/2017,6.798
6/12/2017,6.7982
6/13/2017,6.7991
6/14/2017,6.7917
6/15/2017,6.8078
6/16/2017,6.8105
6/19/2017,6.8195
6/20/2017,6.8292
6/21/2017,6.8295
6/22/2017,6.8348
6/23/2017,6.8366
6/26/2017,6.8411
6/27/2017,6.8126
6/28/2017,6.7998
6/29/2017,6.787
6/30/2017,6.7809
7/3/2017,6.8003
7/4/2017,6.8007
7/5/2017,6.8019
7/6/2017,6.8015
7/7/2017,6.8057
