DATE,PRICE
1/2/2017,.
1/3/2017,1207.23
1/4/2017,1198.07
1/5/2017,1182.46
1/6/2017,1198.85
1/9/2017,1200.51
1/10/2017,1196.96
1/11/2017,1197.59
1/12/2017,1170.93
1/13/2017,1177.81
1/16/2017,.
1/17/2017,1161.61
1/18/2017,1170.73
1/19/2017,1177.03
1/20/2017,.
1/23/2017,1165.82
1/24/2017,1165.25
1/25/2017,1164.13
1/26/2017,1169.61
1/27/2017,1175.73
1/30/2017,1171.27
1/31/2017,1151.45
2/1/2017,1154.45
2/2/2017,1139.9
2/3/2017,1134.65
2/6/2017,1134.87
2/7/2017,1142.89
2/8/2017,1143.25
2/9/2017,1149.88
2/10/2017,1146.78
2/13/2017,1150.16
2/14/2017,1139.33
2/15/2017,1136.46
2/16/2017,1140.57
2/17/2017,1150.73
2/20/2017,.
2/21/2017,1143.63
2/22/2017,1142.15
2/23/2017,1129.84
2/24/2017,1130.41
2/27/2017,1130.14
2/28/2017,1129.17
3/1/2017,1140.75
3/2/2017,1146.9
3/3/2017,1156.77
3/6/2017,1154.36
3/7/2017,1149.87
3/8/2017,1154.69
3/9/2017,1158.12
3/10/2017,1150.37
3/13/2017,1150.37
3/14/2017,1148.54
3/15/2017,1144.16
3/16/2017,1148.54
3/17/2017,1128.67
3/20/2017,1112.29
3/21/2017,1118.23
3/22/2017,1117.91
3/23/2017,1117.91
3/24/2017,1116.69
3/27/2017,1108.3
3/28/2017,1111.51
3/29/2017,1112.28
3/30/2017,1114.11
3/31/2017,1117.48
4/3/2017,1117.65
4/4/2017,1122.61
4/5/2017,1126.58
4/6/2017,1131.21
4/7/2017,1133.89
4/10/2017,1141.24
4/11/2017,1147.77
4/12/2017,1138.83
4/13/2017,1133.32
4/14/2017,1136.67
4/17/2017,1134.25
4/18/2017,1143.89
4/19/2017,1142.37
4/20/2017,1136.29
4/21/2017,1134.22
4/24/2017,1132.19
4/25/2017,1126.54
4/26/2017,1133.17
4/27/2017,1133.83
4/28/2017,1136.99
5/1/2017,1134.87
5/2/2017,1129.16
5/3/2017,1131.25
5/4/2017,1134.2
5/5/2017,1136.49
5/8/2017,1132.91
5/9/2017,1134.84
5/10/2017,1132.13
5/11/2017,1127.51
5/12/2017,1121.68
5/15/2017,1115.01
5/16/2017,1115
5/17/2017,1118.67
5/18/2017,1129.17
5/19/2017,1116.71
5/22/2017,1114.71
5/23/2017,1125.02
5/24/2017,1122.83
5/25/2017,1119.71
5/26/2017,1118.67
5/29/2017,.
5/30/2017,1122.87
5/31/2017,1119.58
6/1/2017,1120.85
6/2/2017,1117.49
6/5/2017,1118.44
6/6/2017,1118.53
6/7/2017,1124.16
6/8/2017,1122.73
6/9/2017,1123.51
6/12/2017,1130.55
6/13/2017,1127.79
6/14/2017,1116.45
6/15/2017,1129.91
6/16/2017,1133.2
6/19/2017,1134.69
6/20/2017,1141.33
6/21/2017,1143.01
6/22/2017,1143.01
6/23/2017,1132.99
6/26/2017,1132.48
6/27/2017,1137.77
6/28/2017,1141.91
6/29/2017,1144.07
6/30/2017,1143.75
7/3/2017,1149.26
7/4/2017,.
7/5/2017,1153.06
7/6/2017,1156.55
7/7/2017,1153.85
7/10/2017,1149.35
7/11/2017,1149.83
7/12/2017,1138.32
7/13/2017,1137.22
7/14/2017,1127.79
7/17/2017,1127.74
7/18/2017,1123.69
7/19/2017,1122.92
7/20/2017,1120.77
7/21/2017,1117.47
7/24/2017,1113.82
7/25/2017,1117.02
7/26/2017,1117.76
7/27/2017,1115.15
7/28/2017,1121.49
7/31/2017,1121.86
8/1/2017,1121.09
8/2/2017,1121.55
8/3/2017,1127.73
8/4/2017,1128.02
8/7/2017,1127.39
8/8/2017,1125.6
8/9/2017,1138.69
8/10/2017,1144.36
8/11/2017,1141.57
8/14/2017,1137.22
8/15/2017,1135.47
8/16/2017,1137.75
8/17/2017,1138.23
8/18/2017,1139.83
8/21/2017,1137.14
8/22/2017,1131.79
8/23/2017,1128.59
8/24/2017,1127.8
8/25/2017,1121.73
8/28/2017,1117.75
8/29/2017,1122.5
8/30/2017,1122.05
8/31/2017,1122.36
9/1/2017,1119.12
9/4/2017,.
9/5/2017,1130.01
9/6/2017,1132.49
9/7/2017,1125.49
9/8/2017,1133.08
9/11/2017,1129.75
9/12/2017,1126.56
9/13/2017,1129.37
9/14/2017,1132.59
9/15/2017,1130.68
9/18/2017,1127.07
9/19/2017,1128.83
9/20/2017,1125.53
9/21/2017,1130.87
9/22/2017,1130.39
9/25/2017,1134.59
9/26/2017,1136.29
9/27/2017,1141.62
9/28/2017,1145.08
9/29/2017,1142.57
10/2/2017,1146.18
10/3/2017,1140.5
10/4/2017,1140.44
10/5/2017,1139.03
10/6/2017,1143.46
10/9/2017,.
10/10/2017,1132.08
10/11/2017,1131.04
10/12/2017,1129.71
10/13/2017,1125.01
10/16/2017,1127.72
10/17/2017,1129.86
10/18/2017,1130.94
10/19/2017,1129.06
10/20/2017,1130.69
10/23/2017,1129.73
10/24/2017,1128.36
10/25/2017,1126.49
10/26/2017,1123
10/27/2017,1124.79
10/30/2017,1124.79
10/31/2017,1115.68
11/1/2017,1110.03
11/2/2017,1111.54
11/3/2017,1114.86
11/6/2017,1110.09
11/7/2017,1113.1
11/8/2017,1111.14
11/9/2017,1118.13
11/10/2017,.
11/13/2017,1119.96
11/14/2017,1113.65
11/15/2017,1103.9
11/16/2017,1094.49
11/17/2017,1093.15
11/20/2017,1093.15
11/21/2017,1088.1
11/22/2017,1085.66
11/23/2017,.
11/24/2017,1082.59
11/27/2017,1088.36
11/28/2017,1079.87
11/29/2017,1079.33
11/30/2017,1084.79
12/1/2017,1082.36
12/4/2017,1082.36
12/5/2017,1086.85
12/6/2017,1094.55
12/7/2017,1090.68
12/8/2017,1092.03
12/11/2017,1092.03
12/12/2017,1090.09
12/13/2017,1088.01
12/14/2017,1088.09
12/15/2017,1086.39
12/18/2017,1084.28
12/19/2017,1084.29
12/20/2017,1078.14
12/21/2017,1078.08
12/22/2017,1076.87
12/25/2017,.
12/26/2017,1073.75
12/27/2017,1073.13
12/28/2017,1068.64
12/29/2017,1067.42
1/1/2018,.
1/2/2018,1059.39
1/3/2018,1063.11
1/4/2018,1061.5
1/5/2018,1060.07
1/8/2018,1066.26
1/9/2018,1068.8
1/10/2018,1067.55
1/11/2018,1062.67
1/12/2018,1062.09
1/15/2018,.
1/16/2018,1064.19
1/17/2018,1066.72
1/18/2018,1069.35
1/19/2018,1065.81
1/22/2018,1068.06
1/23/2018,1072.59
1/24/2018,1065.39
1/25/2018,1057.57
1/26/2018,1064.12
1/29/2018,1071.28
1/30/2018,1073.61
1/31/2018,1068.33
2/1/2018,1069.33
2/2/2018,1086.21
2/5/2018,1086.79
2/6/2018,1081.2
2/7/2018,1082.56
2/8/2018,1093.04
2/9/2018,1087.99
2/12/2018,1082.27
2/13/2018,1083.07
2/14/2018,1076.71
2/15/2018,1065.69
2/16/2018,1065.27
2/19/2018,.
2/20/2018,1072.85
