date, value
1/2/2017,20.7334
1/3/2017,21.1102
1/4/2017,21.4459
1/5/2017,21.4226
1/6/2017,21.2217
1/9/2017,21.3788
1/10/2017,21.8067
1/11/2017,21.8574
1/12/2017,21.7798
1/13/2017,21.4765
1/16/2017,21.7363
1/17/2017,21.5079
1/18/2017,21.9544
1/19/2017,21.9555
1/20/2017,21.5877
1/23/2017,21.3879
1/24/2017,21.5273
1/25/2017,21.0719
1/26/2017,21.2139
1/27/2017,20.8863
1/30/2017,20.7839
1/31/2017,20.8322
2/1/2017,20.7074
2/2/2017,20.5602
2/3/2017,20.3631
2/6/2017,20.5634
2/7/2017,20.6208
2/8/2017,20.4793
2/9/2017,20.3504
2/10/2017,20.3461
2/13/2017,20.2823
2/14/2017,20.2605
2/15/2017,20.2748
2/16/2017,20.3802
2/17/2017,20.4292
2/20/2017,20.3718
2/21/2017,20.0138
2/22/2017,19.9067
2/23/2017,19.6669
2/24/2017,19.9115
2/27/2017,19.911
2/28/2017,20.109
3/1/2017,19.8104
3/2/2017,19.999
3/3/2017,19.51
3/6/2017,19.6135
3/7/2017,19.4946
3/8/2017,19.6715
3/9/2017,19.8377
3/10/2017,19.6086
3/13/2017,19.6177
3/14/2017,19.667
3/15/2017,19.2215
3/16/2017,19.2654
3/17/2017,19.0772
3/20/2017,19.0013
3/21/2017,19.0999
3/22/2017,19.0263
3/23/2017,18.9286
3/24/2017,18.7579
3/27/2017,18.8918
3/28/2017,19.0296
3/29/2017,18.7068
3/30/2017,18.7145
3/31/2017,18.7249
4/3/2017,18.6721
4/4/2017,18.8257
4/5/2017,18.8302
4/6/2017,18.7478
4/7/2017,18.6662
4/10/2017,18.682
4/11/2017,18.7799
4/12/2017,18.5512
4/13/2017,18.581
4/14/2017,18.521
4/17/2017,18.4972
4/18/2017,18.5914
4/19/2017,18.8379
4/20/2017,18.7901
4/21/2017,18.8112
4/24/2017,18.7304
4/25/2017,18.863
4/26/2017,19.191
4/27/2017,19.027
4/28/2017,18.8206
5/1/2017,18.7408
5/2/2017,18.7698
5/3/2017,18.8638
5/4/2017,19.0489
5/5/2017,18.988
5/8/2017,19.2076
5/9/2017,19.1729
5/10/2017,19.0157
