"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted"
"1",11.4,88.599998,18.021023,NA
"2",11.3,90.510002,18.946692,NA
"3",11.6,94.370003,20.20718,NA
"4",11.68,93.889999,20.059467,NA
"5",11.68,94.720001,20.945747,NA
"6",13.13,96.75,21.733549,NA
"7",13.61,96.940002,21.388885,NA
"8",13.8,95.900002,21.231325,NA
"9",13.94,96.269997,21.69416,NA
"10",13.41,96.120003,21.438124,NA
"11",13.36,96,21.65477,NA
"12",13.58,96.169998,21.615381,NA
"13",13.63,96.059998,21.526752,NA
"14",13.56,98.410004,23.062969,NA
"15",13.9,101.43,23.190987,NA
"16",13.92,104.059998,23.28454,NA
"17",13.32,102.75,22.600136,NA
"18",13.4,102.07,22.550898,NA
"19",13.17,101.019997,22.137299,NA
"20",13.11,101.309998,22.383488,NA
"21",13.2,101.57,22.42288,NA
"22",13.14,100.839996,22.797085,NA
"23",13.57,100.389999,22.77739,NA
"24",14.25,100.900002,22.5312,NA
"25",14.38,100.830002,22.42288,NA
"26",14.45,103.57,24.609035,NA
"27",14.93,103.339996,24.500711,NA
"28",15.01,102.360001,24.234829,NA
"29",15.2,103.099998,25.012785,NA
"30",15.38,101.589996,25.022633,NA
"31",15.34,101.550003,25.859674,NA
"32",15.45,100.82,26.391441,NA
"33",14.95,100.519997,26.588394,NA
"34",15.89,102.120003,27.346657,NA
"35",15.42,104.199997,26.519461,NA
"36",14.18,102.459999,25.327906,NA
"37",14.48,102.949997,25.465775,NA
"38",14.35,103.599998,25.505163,NA
"39",14.38,102.900002,26.233881,NA
"40",14.54,104.040001,27.09062,NA
"41",14.37,103.190002,26.20434,NA
"42",14.04,103.309998,26.460377,NA
"43",14.08,102.309998,26.20434,NA
"44",14.75,102.629997,29.54266,NA
"45",15.49,103.220001,33.668785,NA
"46",15.47,103.239998,29.591898,NA
"47",15.23,103.389999,30.31077,NA
"48",15.41,105.18,30.901621,NA
"49",15.25,104.25,33.146866,NA
"50",15.61,103.690002,33.333965,NA
"51",15.5,105.629997,34.200554,NA
"52",15.19,105.610001,34.476284,NA
"53",15.13,107.25,33.727871,NA
"54",14.1,105.089996,31.650036,NA
"55",14.33,106.089996,32.309822,NA
"56",14.83,108.25,32.782505,NA
"57",14.97,108.040001,32.821896,NA
"58",14.93,108.080002,33.718025,NA
"59",15,107.800003,33.284729,NA
"60",14.89,109.510002,33.590004,NA
"61",14.68,108.849998,34.978512,NA
"62",14.94,107.830002,33.550613,NA
"63",15.39,108.089996,34.308876,NA
"64",14.91,107.519997,33.452141,NA
"65",15.2,107.440002,32.388603,NA
"66",14.98,108.040001,34.033146,NA
"67",15.56,108.989998,34.397503,NA
"68",16.860001,111.699997,36.928326,NA
"69",16.709999,110.440002,36.800304,NA
"70",15.81,110.629997,37.282837,NA
"71",14.98,110.209999,37.597958,NA
"72",14.6,111.760002,37.814606,NA
"73",14.74,111.230003,36.209454,NA
"74",15,110.760002,36.642746,NA
"75",14.86,112.959999,37.47979,NA
"76",14.96,113.110001,37.735825,NA
"77",14.95,114.860001,37.863842,NA
"78",15.21,115.480003,37.578262,NA
"79",14.99,114.970001,36.859394,NA
"80",15.04,115.43,37.79491,NA
"81",15.27,115.5,37.401009,NA
"82",16.34,116.68,38.828903,NA
"83",16.23,118.089996,38.937225,NA
"84",15.78,116.57,37.716129,NA
"85",15.7,115.860001,38.070641,NA
"86",17.66,116.040001,38.523628,NA
"87",17.639999,116.860001,37.986938,NA
"88",19.290001,120,37.991863,NA
"89",19.629999,119.980003,37.637352,NA
"90",21,120.160004,37.824451,NA
"91",19.98,120.339996,39.52808,NA
"92",19.860001,121.400002,39.498539,NA
"93",22.780001,124.019997,43.151978,NA
"94",20.01,120.720001,39.665943,NA
"95",21.879999,121.269997,40.778717,NA
"96",21.690001,123.220001,42.915638,NA
"97",21.200001,124.75,42.177074,NA
"98",20.780001,122.93,40.443901,NA
"99",21.139999,122.809998,38.050945,NA
"100",20.959999,123.629997,37.824451,NA
"101",21.120001,123.989998,38.543324,NA
"102",21.059999,123.910004,36.623051,NA
"103",20.549999,122.459999,37.460094,NA
"104",20.620001,123.970001,36.770763,NA
"105",20.889999,124.129997,37.489635,NA
"106",20.530001,125.370003,39.468994,NA
"107",20.959999,124.620003,40.08939,NA
"108",22.780001,125.639999,39.705334,NA
"109",23.43,142.339996,39.380367,NA
"110",21.459999,139.440002,36.86924,NA
"111",20.9,139.080002,37.016953,NA
"112",20.26,136.600006,37.46994,NA
"113",20.23,136.669998,35.98296,NA
"114",19.82,135.080002,35.766312,NA
