"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined","Date"
"1","-2.75426804740401","-3.09987972456084","-3.27787568365783",NA,"-3.04400781854089","2017-01-03"
"2","-2.77605276399181","-2.98807601230283","-3.01542445894381",NA,"-2.92651774507948","2017-01-04"
"3","-2.7112656131174","-2.76915501890172","-2.67794149318561",NA,"-2.71945404173491","2017-01-05"
"4","-2.69427170720533","-2.79588603187042","-2.71638466692844",NA,"-2.73551413533473","2017-01-06"
"5","-2.69427170720533","-2.74974949517612","-2.48984338042735",NA,"-2.64462152760293","2017-01-09"
"6","-2.40490861903412","-2.63859173021302","-2.29637707295634",NA,"-2.44662580740116","2017-01-10"
"7","-2.3161196222824","-2.62830730369299","-2.38014161395428",NA,"-2.44152284664323","2017-01-11"
"8","-2.2818355678398","-2.68484904653317","-2.41888417327376",NA,"-2.46185626254891","2017-01-12"
"9","-2.2568741245627","-2.66466355075344","-2.30588241799113",NA,"-2.40914003110242","2017-01-13"
"10","-2.35272868964776","-2.67283727813863","-2.36809268073069",NA,"-2.46455288283903","2017-01-17"
"11","-2.36196620624782","-2.67938587386078","-2.31540527110798",NA,"-2.45225245040553","2017-01-18"
"12","-2.32157657669578","-2.67011144965218","-2.32494521163259",NA,"-2.43887774599352","2017-01-19"
"13","-2.31248832621821","-2.67611074449748","-2.34647467741979",NA,"-2.44502458271183","2017-01-20"
"14","-2.32522124277977","-2.54941365441561","-1.98526904264602",NA,"-2.2866346466138","2017-01-23"
"15","-2.26398031127963","-2.39096544098408","-1.956262550616",NA,"-2.2037361009599","2017-01-24"
"16","-2.26042466724307","-2.2567754922201","-1.93516622485215",NA,"-2.15078879477177","2017-01-25"
"17","-2.36938112662276","-2.32318598851099","-2.09149808221304",NA,"-2.26135506578226","2017-01-26"
"18","-2.35457343652686","-2.35799322583298","-2.10292687179282",NA,"-2.27183117805089","2017-01-27"
"19","-2.39738664417399","-2.41219792301182","-2.19992523519845",NA,"-2.33650326746142","2017-01-30"
"20","-2.40867819755996","-2.39717098799675","-2.14197237520413",NA,"-2.31594052025361","2017-01-31"
"21","-2.39176012907793","-2.38373502815527","-2.13275867061502",NA,"-2.30275127594941","2017-02-01"
"22","-2.40302598081193","-2.4215467164771","-2.04603115145629",NA,"-2.29020128291511","2017-02-02"
"23","-2.32339823877562","-2.44499161069025","-2.05056016360467",NA,"-2.27298333769018","2017-02-03"
"24","-2.20248231257082","-2.41842830486469","-2.10750602431537",NA,"-2.2428055472503","2017-02-06"
"25","-2.18002389546441","-2.42206626820949","-2.13275867061502",NA,"-2.24494961142964","2017-02-07"
"26","-2.16801479407055","-2.28151761716476","-1.64525695668887",NA,"-2.03159645597473","2017-02-08"
"27","-2.08720017388833","-2.29317191014855","-1.66837444071689",NA,"-2.01624884158459","2017-02-09"
"28","-2.07398397252417","-2.3431206400284","-1.72555244121542",NA,"-2.047552351256","2017-02-10"
"29","-2.04287550556555","-2.30536028272307","-1.55997952559909",NA,"-1.96940510462924","2017-02-13"
"30","-2.01376072476691","-2.38270313199717","-1.55791672786375",NA,"-1.98479352820928","2017-02-14"
"31","-2.02020113913378","-2.38476717908226","-1.38548860188984",NA,"-1.93015230670196","2017-02-15"
"32","-2.0025301740403","-2.42258628738867","-1.27882056696008",NA,"-1.90131234279635","2017-02-16"
"33","-2.0838895007207","-2.43820792419085","-1.23985780144766",NA,"-1.92065174211974","2017-02-17"
