Date_,retweet_count_sum,favorite_count_sum,is_retweet_sum,num_words_sum,num_hashtags_sum,num_mentions_sum,year_sum,month_sum,hour_sum,minute_sum
2017-01-20,362593,1588729,1588729,181.0,3.0,0.0,22187.0,11.0,184.0,472.0
2017-01-21,103818,467521,467521,67.0,0.0,2.0,6051.0,3.0,38.0,163.0
2017-01-22,184236,949408,949408,91.0,0.0,0.0,8068.0,4.0,50.0,156.0
2017-01-23,26750,177839,177839,24.0,0.0,0.0,2017.0,1.0,11.0,38.0
2017-01-24,86707,495813,495813,79.0,1.0,1.0,8068.0,4.0,61.0,122.0
2017-01-25,240014,1112361,1112361,166.0,0.0,5.0,16136.0,8.0,64.0,169.0
2017-01-26,194173,970602,970602,188.0,0.0,16.0,22187.0,11.0,127.0,354.0
2017-01-27,168114,841537,841537,107.0,2.0,0.0,14119.0,7.0,123.0,154.0
2017-01-28,83334,465730,465730,95.0,1.0,5.0,10085.0,5.0,76.0,120.0
2017-01-29,226253,968933,968933,130.0,0.0,3.0,14119.0,7.0,129.0,172.0
2017-01-30,217651,1077062,1077062,166.0,0.0,0.0,14119.0,7.0,97.0,167.0
2017-01-31,97752,459100,459100,74.0,0.0,0.0,6051.0,3.0,22.0,93.0
2017-02-01,117869,659762,659762,68.0,0.0,1.0,8068.0,8.0,16.0,127.0
2017-02-02,241111,1042808,1042808,176.0,0.0,1.0,16136.0,16.0,78.0,219.0
2017-02-03,268276,1106263,1106263,142.0,0.0,0.0,14119.0,14.0,90.0,234.0
2017-02-04,291103,1370895,1370895,191.0,0.0,1.0,18153.0,18.0,132.0,274.0
2017-02-05,133725,671274,671274,115.0,2.0,2.0,12102.0,12.0,82.0,259.0
2017-02-06,160495,705010,705010,118.0,0.0,3.0,12102.0,12.0,82.0,136.0
2017-02-07,117832,534056,534056,126.0,2.0,2.0,10085.0,10.0,44.0,122.0
2017-02-08,241568,1124028,1124028,217.0,0.0,2.0,22187.0,22.0,169.0,294.0
2017-02-09,187485,875315,875315,161.0,0.0,2.0,16136.0,16.0,102.0,283.0
2017-02-10,81639,356367,356367,58.0,1.0,1.0,6051.0,6.0,49.0,74.0
2017-02-11,139353,863381,863381,206.0,0.0,2.0,18153.0,18.0,161.0,161.0
2017-02-12,166465,813482,813482,174.0,1.0,2.0,18153.0,18.0,105.0,215.0
2017-02-13,40660,244511,244511,49.0,0.0,3.0,6051.0,6.0,49.0,162.0
2017-02-14,91482,459057,459057,103.0,2.0,3.0,12102.0,12.0,82.0,234.0
2017-02-15,259443,991177,991177,189.0,1.0,8.0,22187.0,22.0,170.0,339.0
2017-02-16,131743,657803,657803,120.0,0.0,1.0,12102.0,12.0,85.0,187.0
2017-02-17,153317,761912,761912,162.0,0.0,8.0,16136.0,16.0,125.0,239.0
2017-02-18,68413,384527,384527,71.0,0.0,0.0,8068.0,8.0,46.0,110.0
2017-02-19,26224,112115,112115,23.0,0.0,1.0,2017.0,2.0,21.0,57.0
2017-02-20,99441,489861,489861,51.0,0.0,0.0,8068.0,8.0,68.0,81.0
2017-02-21,65769,319131,319131,40.0,0.0,0.0,6051.0,6.0,43.0,107.0
