Date,Unnamed: 0_sum,sentiment_sum
2017-01-20,129668,2.0999999999999996
2017-01-21,35343,0.8166666666666667
2017-01-22,47110,0.18333333333333346
2017-01-23,11775,0.7
2017-01-24,47090,1.05
2017-01-25,94132,1.6833333333333333
2017-01-26,129327,-1.8199999999999996
2017-01-27,82236,2.766666666666667
2017-01-28,58710,-2.125
2017-01-29,82152,-2.9
2017-01-30,82103,-1.7750000000000001
2017-01-31,35172,-1.7416666666666665
2017-02-01,46882,0.7166666666666666
2017-02-02,93716,-0.7199999999999999
2017-02-03,81949,0.018333333333333313
2017-02-04,105291,-2.6999999999999997
2017-02-05,70149,1.8266666666666664
2017-02-06,70113,-0.36
2017-02-07,58400,-3.0
2017-02-08,128392,-0.11666666666666636
2017-02-09,93300,0.7000000000000001
2017-02-10,34971,-1.6
2017-02-11,104859,3.2333333333333334
2017-02-12,104778,-0.41000000000000003
2017-02-13,34908,1.6
2017-02-14,69789,-0.2833333333333332
2017-02-15,127853,-1.9066666666666667
2017-02-16,69687,-2.1133333333333333
2017-02-17,92860,-2.63
2017-02-18,46406,1.4
2017-02-19,11599,-0.7
2017-02-20,46386,1.6666666666666663
2017-02-21,34779,-1.1
2017-02-22,23181,-0.06666666666666665
2017-02-23,11589,0.0
2017-02-24,69513,-0.28333333333333344
2017-02-25,81053,2.428571428571429
2017-02-26,46294,-0.7
2017-02-27,23141,1.5
2017-02-28,11569,0.9
2017-03-01,34701,0.8
2017-03-02,11565,0.7
2017-03-03,150254,-4.1
2017-03-04,80836,-2.0633333333333335
2017-03-05,34629,1.475
2017-03-06,46158,1.5
2017-03-07,92268,-0.8250000000000002
2017-03-08,69159,2.4
2017-03-09,46086,2.35
2017-03-10,34554,0.7
2017-03-11,11516,-0.4333333333333333
2017-03-12,11515,0.0
2017-03-13,57560,-1.1083333333333334
2017-03-14,23017,1.5
2017-03-15,80528,1.1450000000000002
2017-03-16,80479,5.4
2017-03-17,103401,1.7999999999999996
2017-03-18,22967,0.425
2017-03-19,11482,0.0
2017-03-20,80346,-0.6000000000000002
2017-03-21,45890,2.2666666666666666
2017-03-22,11470,0.7
2017-03-23,80262,-2.9000000000000004
2017-03-24,45842,0.13333333333333341
2017-03-25,45826,2.175
2017-03-26,11454,0.75
2017-03-27,11453,0.8
2017-03-28,114475,2.0999999999999996
2017-03-29,45762,-2.1500000000000004
2017-03-30,102906,-2.483333333333333
2017-03-31,91404,2.833333333333334
2017-04-01,91340,-1.9500000000000002
2017-04-02,34236,-2.25
2017-04-03,91252,2.5166666666666666
2017-04-04,45602,1.5
2017-04-05,11398,0.0
2017-04-06,22793,1.5
2017-04-07,11395,0.8
2017-04-08,56960,2.65
2017-04-09,22777,0.0
2017-04-10,34158,2.3
2017-04-11,56910,-0.2666666666666666
2017-04-12,68259,3.1333333333333333
2017-04-13,45486,2.966666666666667
2017-04-14,34104,-0.020000000000000018
2017-04-16,56820,1.1333333333333333
2017-04-17,90860,-0.125
2017-04-18,79450,-1.1666666666666665
2017-04-19,45378,1.8333333333333335
2017-04-20,45362,1.0166666666666666
2017-04-21,56680,-1.1166666666666667
2017-04-22,113285,1.7166666666666661
2017-04-23,79240,-0.9333333333333336
2017-04-24,79191,-0.40000000000000024
2017-04-25,56535,0.1499999999999999
2017-04-26,101700,-0.6249999999999998
2017-04-27,135474,-0.30000000000000004
2017-04-28,45126,1.1
2017-04-29,56385,0.8500000000000001
2017-04-30,56360,0.5666666666666667
2017-05-01,22537,0.7
2017-05-02,45062,0.7083333333333333
2017-05-03,45046,0.9500000000000001
2017-05-04,112545,1.4166666666666665
2017-05-05,112445,3.591666666666667
2017-05-06,11239,0.525
2017-05-07,67413,-2.9000000000000004
2017-05-08,112275,-0.15000000000000002
2017-05-09,22443,0.75
2017-05-10,123365,-0.6166666666666665
2017-05-11,67239,-2.9166666666666665
2017-05-12,100791,0.050000000000000044
2017-05-13,44770,1.8
2017-05-14,11190,0.775
2017-05-15,11189,0.0
2017-05-16,67113,0.2400000000000001
2017-05-17,11182,0.85
2017-05-18,44718,0.30000000000000004
2017-05-19,33528,0.6
2017-05-20,22347,1.55
2017-05-21,33513,0.8
2017-05-22,22337,0.7
2017-05-23,44662,2.25
2017-05-24,22325,0.75
2017-05-25,44638,2.25
2017-05-26,44622,0.32000000000000006
2017-05-27,78050,0.9666666666666666
2017-05-28,133686,-1.0333333333333339
2017-05-29,66789,1.7000000000000002
2017-05-30,55630,-0.6499999999999999
2017-05-31,100071,-0.24999999999999978
2017-06-01,55560,0.8500000000000001
2017-06-02,111045,2.3
2017-06-03,44390,0.6333333333333333
2017-06-04,33282,-1.7466666666666666
2017-06-05,88708,2.2666666666666666
2017-06-06,110795,-3.4833333333333334
2017-06-07,55360,1.0
2017-06-09,77462,2.7666666666666666
2017-06-10,22123,0.7
2017-06-11,44234,-1.6166666666666667
2017-06-12,88420,2.55
2017-06-13,110435,-0.8914285714285713
2017-06-14,44146,1.85
2017-06-15,77217,-0.4966666666666666
2017-06-16,77168,1.4499999999999997
2017-06-17,33057,1.4666666666666666
2017-06-18,77098,2.433333333333333
2017-06-19,143052,-1.3333333333333333
2017-06-20,65967,-0.16666666666666663
2017-06-21,98883,5.300000000000001
2017-06-22,142688,1.4333333333333336
2017-06-23,76762,2.1999999999999997
2017-06-24,65757,0.5166666666666668
